source,text,link1,link2,favorite_count,is_retweet,id_str
Twitter for iPhone,....Transgender individuals to  serve in any capacity in the U.S. Military. Our military must be focused on decisive and overwhelming.....,,,138076,FALSE,8.90196E+17
Twitter for iPhone,"After consultation with my Generals and military experts, please be advised that the United States Government will not accept or allow......",,,127064,FALSE,8.90194E+17
Twitter for iPhone,"Senator @lisamurkowski of the Great State of Alaska really let the Republicans, and our country, down yesterday. Too bad!",,,59474,FALSE,8.90168E+17
Twitter for iPhone,The crowd in Ohio was amazing last night - broke all records. We all had a great time in a great State. Will be back soon!,,,76411,FALSE,8.90162E+17
Twitter for iPhone,RT @foxandfriends: Sen. John McCain making his return to the Senate ahead of health care vote ,https://t.co/VuojpRpcLM,,0,TRUE,8.90161E+17
Media Studio,People of Ohio are fantastic. Thank you so much. What an evening! ,https://t.co/KM0zoaULYH,,55306,FALSE,8.90069E+17
Media Studio,"It was my great honor to join our wonderful Veterans at AMVETS Post 44 in Youngstown, Ohio this evening. A grateful nation salutes you! ",https://t.co/RxobYHP1oR,,60918,FALSE,8.9006E+17
Twitter for iPhone,"Just arrived in Youngstown, Ohio with @FLOTUS Melania!#MakeAmericaGreatAgain??????",https://t.co/A1mrxSksR3 ,https://t.co/jWX9yBlX8z,52122,FALSE,8.89972E+17
Twitter for iPhone,.@SenJohnMcCain-Thank you for coming to D.C. for such a vital vote. Congrats to all Rep. We can now deliver grt healthcare to all Americans!,,,67710,FALSE,8.89929E+17
Twitter for iPhone,Joint Press Conference with Prime Minister Saad Hariri of Lebanon beginning shortly. Join us live!??,https://t.co/7pquWbEutn ,https://t.co/JHVHKgrPOY,26606,FALSE,8.89925E+17
Twitter for iPhone,"America's Labor Market Continues to Boom JOBS, JOBS, JOBS! ",https://t.co/LuOaR1Iz2e,,51470,FALSE,8.89872E+17
Media Studio,The American people have waited long enough. There has been enough talk and no action for seven years. Now is the time for action! ,https://t.co/VdTiYL0Ua7,,59918,FALSE,8.89868E+17
Twitter for iPhone,Will be traveling to the Great State of Ohio tonight. Big crowd expected. See you there!,,,69132,FALSE,8.89825E+17
Twitter for iPhone,This will be a very interesting day for HealthCare.The Dems are obstructionists but the Republicans can have a great victory for the people!,,,58404,FALSE,8.89822E+17
Twitter for iPhone,Working on major Trade Deal with the United Kingdom. Could be very big &amp; exciting. JOBS! The E.U. is very protectionist with the U.S. STOP!,,,70825,FALSE,8.89822E+17
Twitter for iPhone,"Jared Kushner did very well yesterday in proving he did not collude with the Russians. Witch Hunt. Next up, 11 year old Barron Trump!",,,91707,FALSE,8.89801E+17
Twitter for iPhone,So great that John McCain is coming back to vote. Brave - American hero! Thank you John.,,,82480,FALSE,8.89798E+17
Twitter for iPhone,ObamaCare is torturing the American People.The Democrats have fooled the people long enough. Repeal or Repeal &amp; Replace! I have pen in hand.,,,70145,FALSE,8.89797E+17
Twitter for iPhone,"Big day for HealthCare. After 7 years of talking, we will soon see whether or not Republicans are willing to step up to the plate!",,,64975,FALSE,8.89794E+17
Twitter for iPhone,"Problem is that the acting head of the FBI &amp; the person in charge of the Hillary investigation, Andrew McCabe, got $700,000 from H for wife!",,,72206,FALSE,8.89793E+17
Twitter for iPhone,Attorney General Jeff Sessions has taken a VERY weak position on Hillary Clinton crimes (where are E-mails &amp; DNC server) &amp; Intel leakers!,,,71253,FALSE,8.8979E+17
Twitter for iPhone,"Ukrainian efforts to sabotage Trump campaign - ""quietly working to boost Clinton."" So where is the investigation A.G. @seanhannity",,,58316,FALSE,8.89788E+17
Twitter for iPhone,Is Fake News Washington Post being used as a lobbyist weapon against Congress to keep Politicians from looking into Amazon no-tax monopoly?,,,63048,FALSE,8.89676E+17
Twitter for iPhone,So many stories about me in the @washingtonpost are Fake News. They are as bad as ratings challenged @CNN. Lobbyist for Amazon and taxes?,,,55705,FALSE,8.89674E+17
Twitter for iPhone,"The Amazon Washington Post fabricated the facts on my ending massive, dangerous, and wasteful payments to Syrian rebels fighting Assad.....",,,59829,FALSE,8.89672E+17
Media Studio,#2017Jambo- Remember your duty. Honor your history. Take care of the people God puts into your life – and LOVE &amp; CHERISH your country! ,https://t.co/DnNYxGJm4I,,71804,FALSE,8.89655E+17
Twitter for iPhone,Any senator who votes against starting debate is telling America that you are fine w/ the #OCareNightmare! Remarks: ,https://t.co/tSvWaMdxBA ,https://t.co/DI7e78hr6N,42868,FALSE,8.89599E+17
Twitter for iPhone,"Arriving at Joint Base Andrews with @SecretaryPerry, @SecretaryZinke, and @SecPriceMD..... ",https://t.co/Yxm94XKtuv,,45954,FALSE,8.8958E+17
Twitter for iPhone,Republicans have a last chance to do the right thing on Repeal &amp; Replace after years of talking &amp; campaigning on it.,,,83561,FALSE,8.89475E+17
Twitter for iPhone,"Sleazy Adam Schiff, the totally biased Congressman looking into ""Russia,"" spends all of his time on television pushing the Dem loss excuse!",,,81461,FALSE,8.89473E+17
Twitter for iPhone,"So why aren't the Committees and investigators, and of course our beleaguered A.G., looking into Crooked Hillarys crimes &amp; Russia relations?",,,88254,FALSE,8.89468E+17
Twitter for iPhone,"After 1 year of investigation with Zero evidence being found, Chuck Schumer just stated that ""Democrats should blame ourselves,not Russia.""",,,100874,FALSE,8.89438E+17
Twitter for iPhone,"Drain the Swamp should be changed to Drain the Sewer - it's actually much worse than anyone ever thought, and it begins with the Fake News!",,,117414,FALSE,8.89435E+17
Twitter for iPhone,"Thank you to @LOUDOBBS for giving the first six months of the Trump Administration an A+. S.C.,reg cutting,Stock M, jobs,border etc. = TRUE!",,,83996,FALSE,8.8928E+17
Twitter for iPhone,"If Republicans don't Repeal and Replace the disastrous ObamaCare, the repercussions will be far greater than any of them understand!",,,89832,FALSE,8.89274E+17
Twitter for iPhone,"It's hard to read the Failing New York Times or the Amazon Washington Post because every story/opinion, even if should be positive, is bad!",,,71155,FALSE,8.89273E+17
Twitter for iPhone,"It's very sad that Republicans, even some that were carried over the line on my back, do very little to protect their President.",,,134160,FALSE,8.89217E+17
